gender	age	Average_age	Types
M	25	29.2	['Drama', 'Thriller', 'Action', 'Comedy', 'War']
M	50	46.42	['Drama', 'Thriller', 'Crime', 'War', 'Film-Noir']
M	50	39.12	['Drama', 'Comedy', 'Thriller', 'Romance', 'Action']
M	25	28.26	['Drama', 'Comedy', 'Documentary', 'Animation', 'Action']
M	45	41.32	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Crime']
F	35	39.26	['Drama', 'Comedy', 'Romance', 'Adventure', 'Documentary']
M	35	48.04	['Drama', 'Adventure', 'Action', 'War', 'Thriller']
F	35	42.3	['Drama', 'Comedy', 'War', 'Animation', 'Adventure']
M	45	52.7	['Drama', 'Comedy', 'War', 'Romance', 'Film-Noir']
M	1	22.88	['Drama', 'Comedy', 'Documentary', 'Romance', 'Crime']
M	25	28.48	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Romance']
M	25	39.68	['Drama', 'Action', 'Thriller', 'Comedy', 'War']
F	18	31.46	['Drama', 'Romance', 'Comedy', 'Documentary', 'Thriller']
M	25	26.58	['Drama', 'Animation', 'Comedy', 'Documentary', 'Action']
M	45	43.14	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
F	56	40.7	['Drama', 'War', 'Comedy', 'Action', 'Crime']
M	25	45.84	['Drama', 'Comedy', 'War', 'Thriller', 'Mystery']
F	45	37.22	['Drama', 'Comedy', 'Thriller', 'Crime', 'Action']
F	35	36.02	['Drama', 'Comedy', 'Romance', 'War', 'Thriller']
M	18	48.14	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'War']
M	25	42.84	['Drama', 'Action', 'War', 'Comedy', 'Adventure']
M	18	30.82	['Drama', 'Comedy', 'Thriller', 'War', 'Action']
M	25	40.46	['Drama', 'Action', 'War', 'Thriller', 'Crime']
M	35	33.28	['Drama', 'Action', 'Comedy', 'War', 'Thriller']
M	35	39.38	['Drama', 'Comedy', 'War', 'Documentary', 'Thriller']
M	25	52.58	['Comedy', 'Drama', 'Romance', 'Adventure', 'Action']
F	35	50.46	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Crime']
M	45	34.66	['Drama', 'Action', 'Thriller', 'Crime', 'Comedy']
F	25	53.72	['Drama', 'Comedy', 'Horror', 'Crime', 'Documentary']
M	56	36.92	['Drama', 'Action', 'Crime', 'War', 'Thriller']
F	45	49.36	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Mystery']
M	35	43.4	['Drama', 'Comedy', 'Thriller', 'War', 'Film-Noir']
M	25	41.54	['Drama', 'Comedy', 'Thriller', 'Crime', 'Adventure']
M	18	36.88	['Drama', 'Thriller', 'Crime', 'Documentary', 'Action']
F	25	27.6	['Comedy', 'Drama', 'Sci-Fi', 'Adventure', 'Animation']
F	25	28.4	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Thriller']
F	50	40.08	['Drama', 'Comedy', 'Documentary', 'Crime', 'Animation']
M	1	32.5	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	18	49.16	['Drama', 'Thriller', 'Comedy', 'Film-Noir', 'Action']
F	45	51.48	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Crime']
F	25	44.46	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	50	56.0	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'Mystery']
M	25	22.16	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	25	30.5	['Comedy', 'Drama', 'Documentary', 'Romance', 'Animation']
F	25	31.1	['Drama', 'Comedy', 'Action', 'Thriller', 'Romance']
M	25	52.8	['Drama', 'Comedy', 'Thriller', 'Romance', 'Film-Noir']
M	25	40.92	['Drama', 'Thriller', 'War', 'Crime', 'Action']
F	25	51.86	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Thriller']
M	35	37.22	['Drama', 'Comedy', 'Thriller', 'Animation', 'Action']
M	25	27.98	['Drama', 'Comedy', 'Animation', 'Documentary', 'Thriller']
M	56	47.64	['Drama', 'Comedy', 'Thriller', 'Documentary', 'Romance']
M	18	29.38	['Comedy', 'Drama', 'Documentary', 'Animation', 'Action']
F	25	26.62	['Drama', 'Comedy', 'Documentary', 'Romance', 'Crime']
F	25	35.12	['Drama', 'Crime', 'Thriller', 'Film-Noir', 'Comedy']
M	45	43.66	['Drama', 'Adventure', 'Romance', 'Action', "Children's"]
M	25	38.12	['Drama', 'Comedy', 'Romance', 'Action', 'War']
M	50	40.06	['Drama', 'Action', 'Comedy', 'Sci-Fi', 'War']
M	35	46.9	['Drama', 'War', 'Action', 'Thriller', 'Adventure']
F	50	35.12	['Drama', 'Comedy', 'Thriller', 'War', 'Crime']
F	45	42.66	['Drama', 'Comedy', 'War', 'Crime', 'Adventure']
M	25	36.6	['Drama', 'Comedy', 'War', 'Crime', 'Action']
F	35	39.96	['Drama', 'Action', 'Adventure', 'Comedy', 'War']
M	56	28.32	['Drama', 'Comedy', 'Action', 'Romance', 'Adventure']
F	25	40.2	['Drama', 'Comedy', 'Crime', 'Documentary', 'Film-Noir']
M	35	46.18	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
M	25	39.44	['Drama', 'Adventure', 'Comedy', 'Documentary', 'Action']
M	1	37.22	['Drama', 'Documentary', 'Comedy', 'War', 'Romance']
M	50	27.62	['Drama', 'Action', 'Thriller', 'Adventure', 'Comedy']
M	1	28.82	['Drama', 'Action', 'Thriller', 'Crime', 'Comedy']
F	35	32.88	['Drama', 'Comedy', 'Thriller', 'Documentary', 'Romance']
M	35	32.94	['Drama', 'Comedy', 'Documentary', 'Action', 'Crime']
M	50	51.02	['Drama', 'Film-Noir', 'War', 'Thriller', 'Documentary']
M	56	51.54	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
F	25	26.08	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
F	35	32.8	['Drama', 'Romance', 'Comedy', 'Crime', 'Documentary']
M	1	30.28	['Drama', 'Action', 'War', 'Thriller', 'Comedy']
F	35	52.52	['Drama', 'Thriller', 'Film-Noir', 'War', 'Crime']
F	25	39.96	['Drama', 'Comedy', 'Action', 'Animation', 'Adventure']
M	35	34.08	['Drama', 'Comedy', 'War', 'Action', 'Adventure']
M	25	50.5	['Drama', 'Comedy', 'Romance', 'Adventure', 'War']
F	35	48.7	['Drama', 'Comedy', 'Adventure', 'Romance', 'Film-Noir']
M	25	53.4	['Drama', 'Comedy', 'War', 'Romance', 'Adventure']
F	35	41.04	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Crime']
F	56	21.66	['Drama', 'Comedy', 'Documentary', 'Romance', 'War']
M	25	50.26	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
M	56	33.88	['Drama', 'Romance', 'Documentary', 'Crime', 'Comedy']
M	1	30.68	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
M	56	44.44	['Drama', 'Comedy', 'Thriller', 'Documentary', 'Crime']
M	35	34.48	['Drama', 'Action', 'War', 'Adventure', 'Romance']
F	25	25.54	['Drama', 'Comedy', 'Romance', 'Documentary', 'Animation']
F	25	39.9	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Animation']
M	25	44.96	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
M	25	39.54	['Drama', 'Documentary', 'Comedy', 'Crime', 'Sci-Fi']
F	25	37.94	['Drama', 'Crime', 'Thriller', 'Action', 'Comedy']
F	35	42.02	['Drama', 'Comedy', 'War', 'Romance', 'Adventure']
M	45	38.66	['Drama', 'Comedy', 'Romance', 'War', 'Adventure']
M	56	45.2	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	25	42.0	['Comedy', 'Drama', 'Romance', 'Musical', "Children's"]
M	45	46.72	['Drama', 'Thriller', 'War', 'Film-Noir', 'Comedy']
F	18	44.26	['Drama', 'Comedy', 'Crime', 'Thriller', 'Film-Noir']
M	18	32.66	['Drama', 'Comedy', 'Documentary', 'Animation', 'Mystery']
M	25	42.52	['Drama', 'Comedy', 'War', 'Documentary', 'Romance']
M	25	26.84	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	35	38.24	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
F	25	31.04	['Drama', 'Comedy', 'Documentary', 'Romance', 'Adventure']
M	25	43.7	['Drama', 'Comedy', 'Action', 'Film-Noir', 'Adventure']
M	50	40.28	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'Thriller']
F	35	42.06	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
M	35	39.32	['Drama', 'Action', 'War', 'Thriller', 'Comedy']
M	25	38.2	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Action']
M	35	42.54	['Drama', 'Documentary', 'Comedy', 'Mystery', 'Film-Noir']
M	35	38.66	['Comedy', 'Drama', 'Animation', 'Musical', 'Thriller']
F	35	49.32	['Drama', 'Comedy', 'Romance', "Children's", 'Musical']
M	45	46.3	['Drama', 'Action', 'Adventure', 'War', 'Thriller']
M	18	36.76	['Drama', 'War', 'Action', 'Documentary', 'Adventure']
M	56	35.64	['Drama', 'Comedy', 'Documentary', 'Romance', 'War']
M	50	45.62	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Romance']
M	35	22.36	['Drama', 'Comedy', 'Romance', 'Action', 'War']
M	35	29.7	['Drama', 'Comedy', 'Documentary', 'Animation', 'Thriller']
M	35	24.4	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	50	37.7	['Drama', 'Comedy', 'War', 'Thriller', 'Adventure']
M	45	39.66	['Drama', 'Comedy', 'War', 'Animation', 'Romance']
M	18	26.16	['Drama', 'Action', 'War', 'Thriller', 'Comedy']
M	35	51.74	['Drama', 'Comedy', 'War', 'Documentary', 'Mystery']
F	25	29.4	['Drama', 'Comedy', 'Thriller', 'War', 'Crime']
M	18	22.96	['Drama', 'Comedy', 'Sci-Fi', 'Animation', 'Documentary']
F	1	22.34	['Comedy', 'Drama', 'Romance', 'Documentary', 'Action']
M	56	38.26	['Drama', 'Documentary', 'Comedy', 'Animation', 'Thriller']
F	50	34.58	['Drama', 'Comedy', 'Romance', 'Adventure', 'War']
M	45	55.06	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
M	25	36.88	['Drama', 'Adventure', 'Comedy', 'War', 'Thriller']
M	35	40.48	['Drama', 'Romance', 'Comedy', 'War', 'Musical']
M	25	29.22	['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']
M	25	49.96	['Drama', 'Film-Noir', 'Thriller', 'War', 'Mystery']
M	25	26.14	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Animation']
F	18	39.46	['Drama', 'Comedy', 'Romance', 'Documentary', 'Animation']
M	25	44.0	['Drama', 'Comedy', 'War', 'Film-Noir', 'Action']
M	25	44.62	['Drama', 'Comedy', 'War', 'Film-Noir', 'Thriller']
M	56	51.52	['Drama', 'War', 'Action', 'Comedy', 'Crime']
M	50	43.08	['Drama', 'Comedy', 'Romance', 'Adventure', 'War']
M	25	32.2	['Drama', 'Action', 'War', 'Comedy', 'Thriller']
F	25	43.18	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	18	32.66	['Drama', 'Action', 'Thriller', 'Adventure', 'Crime']
M	18	35.46	['Drama', 'Comedy', 'War', 'Action', 'Romance']
M	18	27.08	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
M	25	40.76	['Drama', 'War', 'Romance', 'Comedy', 'Crime']
M	25	40.3	['Drama', 'Comedy', 'War', 'Action', 'Crime']
M	35	52.26	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
M	56	31.12	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	45	24.36	['Drama', 'Action', 'Comedy', 'Thriller', 'Sci-Fi']
M	35	48.28	['Drama', 'Comedy', 'War', 'Crime', 'Film-Noir']
M	35	49.56	['Drama', 'Comedy', 'Thriller', 'Crime', 'War']
M	50	48.28	['Drama', 'Thriller', 'Crime', 'Comedy', 'Adventure']
M	25	42.6	['Drama', 'Comedy', 'Thriller', 'Animation', 'Mystery']
F	25	40.12	['Drama', 'Comedy', 'War', 'Mystery', 'Adventure']
M	35	29.94	['Drama', 'Action', 'Thriller', 'Comedy', 'Adventure']
M	25	33.44	['Drama', 'Comedy', 'Documentary', 'Crime', 'Animation']
M	25	31.34	['Drama', 'Comedy', 'Action', 'Documentary', 'Romance']
M	45	31.6	['Action', 'Drama', 'Thriller', 'Adventure', 'War']
M	25	22.96	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Romance']
M	45	46.76	['Drama', 'Comedy', 'Documentary', 'War', 'Action']
F	25	37.56	['Drama', 'Crime', 'Thriller', 'War', 'Action']
M	18	23.46	['Drama', 'Comedy', 'Action', 'Thriller', 'Romance']
M	45	45.46	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Animation']
M	45	29.66	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	1	24.92	['Drama', 'Comedy', 'War', 'Romance', 'Documentary']
F	25	28.68	['Comedy', 'Drama', 'Action', 'Adventure', 'Crime']
F	25	27.7	['Drama', 'Comedy', 'Documentary', 'War', 'Action']
F	25	41.84	['Drama', 'Comedy', 'Romance', 'Animation', 'Thriller']
M	25	45.02	['Drama', 'War', 'Comedy', 'Thriller', 'Adventure']
M	35	49.32	['Drama', 'Horror', 'Action', 'Comedy', 'Thriller']
M	25	40.88	['Drama', 'Action', 'War', 'Adventure', 'Comedy']
M	50	27.96	['Drama', 'Action', 'Thriller', 'Comedy', 'War']
M	25	30.74	['Drama', 'Comedy', 'Thriller', 'Action', 'Adventure']
M	56	22.9	['Drama', 'Comedy', 'Romance', 'Action', 'Documentary']
M	45	49.52	['Drama', 'Comedy', 'Romance', 'War', 'Documentary']
M	35	47.58	['Drama', 'Comedy', 'War', 'Thriller', 'Adventure']
M	18	38.62	['Drama', 'Documentary', 'Film-Noir', 'Thriller', 'Comedy']
F	18	35.34	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Animation']
M	18	37.7	['Drama', 'Action', 'Thriller', 'Sci-Fi', 'Adventure']
M	56	32.28	['Drama', 'Comedy', 'Thriller', 'War', 'Action']
M	45	44.18	['Drama', 'Comedy', 'War', 'Documentary', 'Film-Noir']
M	56	51.0	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Documentary']
M	25	41.24	['Drama', 'Comedy', 'War', 'Thriller', 'Adventure']
M	18	30.72	['Drama', 'Comedy', 'Thriller', 'Crime', 'War']
M	18	36.68	['Drama', 'Comedy', 'Documentary', 'War', 'Crime']
F	18	36.32	['Drama', 'Comedy', 'Documentary', 'Romance', 'Thriller']
M	18	26.92	['Drama', 'Comedy', 'Action', 'Thriller', 'Adventure']
M	25	27.72	['Action', 'Comedy', 'Thriller', 'Drama', 'Sci-Fi']
M	25	35.12	['Drama', 'Comedy', 'Crime', 'Action', 'Thriller']
M	45	44.28	['Drama', 'Thriller', 'Documentary', 'Crime', 'Film-Noir']
M	35	32.18	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
M	35	34.22	['Drama', 'Comedy', 'Romance', 'Documentary', 'Animation']
F	18	26.3	['Comedy', 'Drama', 'Thriller', 'Animation', 'Action']
M	18	21.7	['Drama', 'Action', 'Comedy', 'Thriller', 'Sci-Fi']
M	25	45.1	['Drama', 'Comedy', 'War', 'Crime', 'Documentary']
M	45	34.92	['Drama', 'Comedy', 'Film-Noir', 'Animation', 'Action']
M	45	42.4	['Drama', 'Comedy', 'Romance', 'Thriller', 'Mystery']
M	18	30.92	['Drama', 'Comedy', 'Documentary', 'Romance', 'Animation']
M	25	40.24	['Drama', 'Comedy', 'War', 'Animation', 'Film-Noir']
M	18	25.54	['Drama', 'Comedy', 'Action', 'Thriller', 'War']
M	25	22.22	['Drama', 'Comedy', 'Romance', 'Documentary', 'Crime']
M	18	30.66	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
M	35	35.04	['Drama', 'Documentary', 'War', 'Comedy', 'Thriller']
F	45	32.74	['Drama', 'Comedy', 'Documentary', 'Romance', 'War']
M	35	42.66	['Drama', 'Comedy', 'Documentary', 'Animation', 'Adventure']
M	56	48.8	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
M	35	45.36	['Drama', 'War', 'Comedy', 'Sci-Fi', 'Adventure']
M	25	43.42	['Drama', 'Comedy', 'Documentary', 'Thriller', 'War']
M	25	28.96	['Drama', 'Action', 'Comedy', 'Thriller', 'Adventure']
F	35	30.68	['Drama', 'Comedy', 'Romance', 'War', 'Musical']
M	56	45.74	['Drama', 'Comedy', 'Musical', 'Romance', "Children's"]
M	35	31.36	['Drama', 'Horror', 'Comedy', 'Documentary', 'Thriller']
M	18	25.8	['Drama', 'War', 'Comedy', 'Documentary', 'Action']
M	35	45.24	['Drama', 'Thriller', 'Comedy', 'Film-Noir', 'Crime']
M	50	38.0	['Drama', 'Thriller', 'Documentary', 'Comedy', 'War']
M	35	44.64	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Animation']
F	35	33.58	['Drama', 'Action', 'Adventure', 'War', 'Comedy']
M	18	41.1	['Drama', 'Comedy', 'Thriller', 'War', 'Film-Noir']
M	25	27.2	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
M	18	27.34	['Drama', 'Action', 'Comedy', 'Documentary', 'Thriller']
M	25	29.86	['Drama', 'Comedy', 'Crime', 'Action', 'Documentary']
M	18	27.3	['Drama', 'Comedy', 'Documentary', 'Romance', 'Crime']
M	35	31.1	['Drama', 'Comedy', 'Romance', 'War', 'Adventure']
M	18	28.88	['Drama', 'Comedy', 'Romance', 'Animation', 'War']
M	35	45.28	['Drama', 'Comedy', 'Action', 'Adventure', 'Thriller']
F	45	47.7	['Comedy', 'Drama', 'Crime', 'Animation', 'Film-Noir']
M	25	30.76	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	45	39.42	['Drama', 'Comedy', 'Romance', 'Animation', 'Musical']
M	50	52.74	['Drama', 'Thriller', 'Film-Noir', 'Crime', 'Romance']
F	18	33.72	['Comedy', 'Drama', 'Romance', "Children's", 'Animation']
M	18	41.0	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
M	35	47.74	['Drama', 'War', 'Thriller', 'Crime', 'Film-Noir']
M	18	36.64	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
F	18	44.34	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Film-Noir']
F	18	23.22	['Drama', 'Comedy', 'Action', 'Documentary', 'Crime']
M	18	38.42	['Drama', 'Comedy', 'Adventure', 'Action', 'Crime']
M	25	45.2	['Drama', 'Comedy', 'War', 'Adventure', 'Action']
F	18	23.22	['Drama', 'Action', 'Comedy', 'Romance', 'War']
M	25	35.08	['Drama', 'Comedy', 'Animation', 'War', 'Documentary']
M	18	38.74	['Drama', 'Documentary', 'Crime', 'Thriller', 'Comedy']
M	56	48.42	['Drama', 'War', 'Crime', 'Thriller', 'Adventure']
F	18	23.76	['Drama', 'Comedy', 'Documentary', 'Romance', 'Crime']
F	25	43.6	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
M	56	34.0	['Drama', 'Comedy', 'Thriller', 'Animation', 'War']
M	35	46.82	['Drama', 'Comedy', 'War', 'Adventure', 'Crime']
M	25	33.98	['Drama', 'Comedy', 'Thriller', 'Action', 'Adventure']
F	35	41.22	['Drama', 'Comedy', 'Documentary', 'Romance', 'Animation']
F	45	32.5	['Drama', 'Comedy', 'Romance', 'War', 'Documentary']
M	18	34.64	['Drama', 'Thriller', 'War', 'Crime', 'Documentary']
F	25	44.96	['Drama', 'Comedy', 'War', 'Thriller', 'Documentary']
F	18	31.96	['Drama', 'Comedy', 'Documentary', 'Romance', 'Musical']
M	18	29.84	['Drama', 'Comedy', 'Action', 'War', 'Adventure']
M	18	33.64	['Action', 'Drama', 'Comedy', 'Thriller', 'Horror']
M	18	35.82	['Drama', 'Comedy', 'Thriller', 'Crime', 'Action']
M	25	41.8	['Drama', 'Comedy', 'Documentary', 'Romance', 'Film-Noir']
M	25	28.64	['Drama', 'Comedy', 'War', 'Action', 'Crime']
M	35	32.68	['Drama', 'War', 'Comedy', 'Action', 'Adventure']
M	25	40.94	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Animation']
F	18	36.62	['Drama', 'Comedy', 'Action', 'War', 'Adventure']
F	18	31.82	['Drama', 'Action', 'Thriller', 'Crime', 'War']
M	35	23.84	['Comedy', 'Drama', 'Romance', 'Action', 'Thriller']
M	45	40.94	['Drama', 'Thriller', 'War', 'Comedy', 'Mystery']
M	50	51.58	['Drama', 'Comedy', 'Adventure', 'War', 'Thriller']
F	25	33.8	['Drama', 'Comedy', 'Documentary', 'Crime', 'Animation']
M	18	21.44	['Comedy', 'Drama', 'Thriller', 'Crime', 'Sci-Fi']
M	25	33.86	['Drama', 'War', 'Action', 'Comedy', 'Documentary']
F	56	31.66	['Drama', 'Romance', 'Comedy', 'Documentary', 'Crime']
F	1	30.58	['Drama', 'Comedy', 'Horror', 'Romance', 'Thriller']
M	18	34.08	['Drama', 'Comedy', 'Thriller', 'Crime', 'Documentary']
M	25	37.04	['Drama', 'Action', 'Comedy', 'Crime', 'War']
F	18	35.7	['Drama', 'Action', "Children's", 'Comedy', 'Thriller']
M	56	31.4	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
M	18	27.74	['Drama', 'Action', 'Thriller', 'War', 'Comedy']
M	18	39.22	['Drama', 'Comedy', 'War', 'Documentary', 'Crime']
M	25	29.04	['Drama', 'Comedy', 'Documentary', 'Crime', 'Thriller']
M	25	33.26	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	25	39.3	['Drama', 'Thriller', 'Crime', 'War', 'Action']
F	50	41.3	['Drama', 'Comedy', 'Thriller', 'Crime', 'Animation']
F	45	23.52	['Drama', 'Romance', 'Thriller', 'Comedy', 'War']
F	35	38.14	['Drama', 'Comedy', 'Thriller', 'Romance', 'War']
M	1	27.24	['Comedy', 'Drama', 'Documentary', 'Animation', 'Thriller']
M	25	38.12	['Drama', 'Comedy', 'Documentary', 'Animation', 'War']
F	18	39.64	['Drama', 'Comedy', 'War', 'Romance', 'Action']
M	35	29.38	['Action', 'Drama', 'Comedy', 'Thriller', 'Sci-Fi']
F	18	33.8	['Drama', 'Comedy', 'Romance', 'Crime', 'War']
M	25	40.06	['Drama', 'Comedy', 'Documentary', 'Thriller', 'War']
F	25	24.2	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	35	35.1	['Drama', 'Thriller', 'Action', 'War', 'Sci-Fi']
F	50	37.02	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
F	25	36.8	['Drama', 'Comedy', 'Documentary', 'Action', 'Thriller']
F	25	27.2	['Drama', 'Comedy', 'Documentary', 'Romance', 'Animation']
F	25	45.5	['Drama', 'Comedy', 'Romance', 'Animation', 'Musical']
M	25	35.66	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	50	44.92	['Drama', 'War', 'Comedy', 'Action', 'Adventure']
F	50	46.4	['Drama', 'Thriller', 'Film-Noir', 'Comedy', 'Crime']
M	18	31.22	['Drama', 'Comedy', 'Documentary', 'Romance', 'Mystery']
M	35	39.42	['Drama', 'War', 'Action', 'Comedy', 'Thriller']
F	35	52.7	['Drama', 'Comedy', 'Thriller', 'Romance', 'War']
M	18	23.92	['Drama', 'Comedy', 'Thriller', 'Romance', 'Crime']
M	25	27.0	['Drama', 'War', 'Action', 'Adventure', 'Documentary']
F	35	48.88	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
M	35	39.68	['Drama', 'Comedy', 'Crime', 'Action', 'War']
M	18	24.58	['Drama', 'Comedy', 'Documentary', 'Romance', 'War']
M	25	39.78	['Drama', 'Action', 'Crime', 'Thriller', 'War']
M	35	55.56	['Drama', 'Comedy', 'War', 'Adventure', 'Mystery']
M	25	29.0	['Drama', 'Crime', 'Thriller', 'Action', 'Documentary']
F	50	41.32	['Drama', 'Comedy', 'Documentary', 'Action', 'Animation']
M	25	29.98	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
F	18	23.56	['Drama', 'Comedy', 'Documentary', 'Romance', 'Animation']
M	25	46.38	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Documentary']
M	45	40.1	['Drama', 'Comedy', 'Thriller', 'Crime', 'War']
M	50	32.72	['Drama', 'Action', 'War', 'Thriller', 'Documentary']
F	45	50.26	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Mystery']
M	25	32.0	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Crime']
M	25	35.22	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	56	33.88	['Drama', 'Comedy', 'Documentary', 'Animation', 'Action']
M	35	47.46	['Drama', 'Thriller', 'Comedy', 'Adventure', 'War']
F	25	45.26	['Drama', 'Documentary', 'Comedy', 'War', 'Crime']
M	50	48.4	['Drama', 'Comedy', 'Action', 'Thriller', 'Film-Noir']
M	35	44.86	['Drama', 'Thriller', 'Action', 'War', 'Sci-Fi']
M	25	28.34	['Drama', 'Comedy', 'Documentary', 'Animation', 'Adventure']
M	35	50.08	['Drama', 'Comedy', 'Documentary', 'Crime', 'War']
M	25	35.52	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	50	51.76	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Crime']
M	1	37.92	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
M	35	29.42	['Drama', 'Comedy', 'Romance', "Children's", 'Thriller']
M	56	45.56	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
F	18	27.04	['Drama', 'Action', 'Comedy', 'Documentary', 'Thriller']
M	18	28.76	['Drama', 'Comedy', 'Documentary', 'Crime', 'Action']
M	56	51.18	['Drama', 'Comedy', 'War', 'Thriller', 'Film-Noir']
M	35	49.36	['Drama', 'Comedy', 'Film-Noir', 'War', 'Thriller']
M	25	29.36	['Drama', 'Action', 'Comedy', 'Thriller', 'Sci-Fi']
F	35	24.42	['Drama', 'Romance', 'Comedy', "Children's", 'Thriller']
F	35	39.44	['Drama', 'Comedy', 'War', 'Crime', 'Animation']
F	25	22.34	['Action', 'Drama', 'Thriller', 'Comedy', 'Adventure']
F	45	43.96	['Drama', 'Romance', 'Comedy', 'War', 'Musical']
M	18	26.22	['Action', 'Comedy', 'Drama', 'Thriller', 'Adventure']
M	25	37.92	['Drama', 'Comedy', 'Crime', 'Thriller', 'Action']
M	35	40.58	['Drama', 'War', 'Comedy', 'Adventure', 'Action']
M	25	46.88	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Animation']
M	25	25.56	['Drama', 'Comedy', 'Animation', 'Action', 'Documentary']
F	25	42.18	['Drama', 'Comedy', 'Crime', 'Animation', 'Thriller']
F	56	42.38	['Drama', 'Action', 'War', 'Adventure', 'Thriller']
M	25	49.68	['Drama', 'Comedy', 'Film-Noir', 'War', 'Documentary']
M	25	48.72	['Drama', 'Thriller', 'Comedy', 'War', 'Film-Noir']
M	45	42.12	['Drama', 'War', 'Action', 'Comedy', 'Adventure']
M	50	48.26	['Drama', 'Comedy', 'War', 'Romance', 'Documentary']
M	25	37.16	['Drama', 'Comedy', 'Crime', 'Action', 'War']
M	18	43.74	['Drama', 'War', 'Thriller', 'Crime', 'Action']
M	18	42.64	['Comedy', 'Drama', 'Adventure', 'Action', 'Romance']
M	25	44.26	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Mystery']
F	1	34.86	['Drama', 'Comedy', 'Romance', 'Musical', 'War']
F	35	51.26	['Comedy', 'Drama', 'Romance', 'Thriller', 'Adventure']
F	25	32.18	['Drama', 'Documentary', 'Comedy', 'Action', 'War']
