#gender,age,occupation,zip,imrovement
M,50,18,60516,2
F,25,17,94618,3
M,18,4,21093,3
M,25,6,68108,4
F,56,12,01520,2
F,1,10,50246,1
M,18,7,64055,2
M,50,8,78065,3
M,45,17,32024,2
M,18,4,37743,2
F,25,16,95687,1
M,18,16,97405,2
M,25,0,55121,4
M,25,12,60618,2
F,50,14,60618,2
F,45,1,01609,3
F,35,9,06074,2
M,25,14,10009,2
M,35,7,08904,2
F,25,3,94117,2
M,25,12,85226,2
M,25,14,60045,2
F,25,0,19107,0
M,45,7,01905,3
M,1,19,03109,0
M,25,16,91402,3
F,18,4,23185,3
M,35,0,44280,3
F,25,2,94566,1
M,35,1,91030,3
F,50,13,53092,3
M,25,14,65023,3
F,35,16,98072,2
F,25,4,92648,2
F,25,7,94115,3
F,45,3,38028,2
M,25,12,98117,2
M,50,13,94089,1
F,50,0,20004,3
M,18,4,55403,2
M,35,15,92649,1
M,18,2,08820,1
M,25,14,98103,4
F,35,9,48302,3
M,25,16,80013,2
M,25,4,57006,2
M,18,4,02143,3
M,50,13,68502,4
F,25,14,60657,2
M,18,4,54481,3
M,45,1,01867,2
M,35,17,77096,2
M,35,7,07644,3
M,25,16,90638,3
F,25,9,80538,3
M,25,12,07054,3
M,45,14,60045,2
F,35,2,60201,1
M,25,7,94538,3
M,25,17,74074,0
M,18,7,10016,2
M,35,5,19119,1
M,35,12,96797,2
M,25,0,47421,2
M,25,0,73003,2
M,50,6,01545,4
F,25,17,97330,3
M,25,16,30269,4
M,25,0,43229,3
M,25,16,53406,3
M,25,17,43212,2
M,18,4,90024,3
M,18,4,43235,2
M,18,4,32607,2
F,45,14,46804,3
F,56,1,55406,0
M,25,1,93420-2852,1
M,18,12,12047,3
M,18,2,90038,4
M,18,12,98225,2
F,25,14,78232,2
M,18,7,60012,3
M,18,4,13165,1
F,35,7,90274,3
M,50,13,98201,2
M,18,20,19114,2
M,18,4,02452,3
F,35,2,35229,2
M,50,16,38122,3
M,35,0,90065,1
M,35,0,55127,1
M,25,20,85013,4
M,35,0,45242,3
M,25,12,78660,1
M,45,17,97124,3
M,25,12,78759,3
F,25,0,60640,4
M,18,12,78759,3
F,35,9,85255,2
F,18,20,15701-1348,3
M,25,6,46807,0
F,35,14,55038,4
M,25,2,20036,3
M,50,7,48315,3
M,35,3,77064,2
F,45,4,15232,1
M,18,4,53220,2
M,35,11,08003,3
M,25,3,95136,2
M,50,11,07043,3
M,25,4,90210,3
M,50,1,90027,3
M,50,7,74137,0
M,25,2,60102,4
M,18,0,19134,4
M,1,10,48073,4
F,25,7,33177,4
M,56,13,13502,3
M,25,1,91730,2
M,25,18,80903,3
M,25,14,90274,3
M,50,7,32114,2
F,25,4,48219,3
M,25,1,94720,2
F,35,20,75093,2
M,1,10,07960,2
F,25,15,03255,4
M,25,2,78722,3
M,35,7,10009,4
M,18,16,11209,1
M,18,2,95843,5
M,18,4,48363,3
F,18,20,77304,3
M,18,17,45701,4
F,25,14,44304,2
M,25,1,44240,2
M,25,12,75007,3
M,25,0,66614,3
M,35,17,33433,3
M,18,20,78759,2
M,18,12,55405,3
F,25,12,77019,3
M,18,4,60073,3
F,50,3,53222,2
F,18,1,80302,3
M,25,14,55438,4
M,35,2,96753,2
M,56,16,70072,2
M,35,16,22124,1
M,25,1,14613,1
F,45,2,94558,3
M,25,7,92103,4
M,25,0,11235,0
M,45,1,33705,2
M,35,15,01775,4
F,25,1,04093,2
M,25,20,55391,4
M,45,1,93304,2
M,25,7,22903,2
M,50,1,95350,2
M,25,17,94107,3
M,1,10,48073,4
F,18,3,95825,4
M,18,4,90024,2
M,25,0,77025,3
F,50,7,91362,3
M,25,20,02062,2
M,25,7,47714,4
M,25,15,90034,3
M,35,0,08330,3
M,35,7,11201,2
M,1,10,48445,2
M,25,17,361069,3
M,50,17,54409,1
F,18,14,22201,2
F,25,14,55343,3
M,18,11,45220,3
M,25,15,15217,1
M,25,0,02542,2
M,18,4,85719,2
F,35,0,92704,0
M,25,0,10021,1
M,18,17,19104,0
M,18,12,98133,2
M,18,15,21042,4
M,35,17,06110,2
F,35,16,03301,3
M,1,10,03608,3
F,35,9,03769,3
M,25,4,22030,3
M,25,0,92019,4
M,25,4,10549,4
M,25,20,22032,3
F,25,14,94114,1
M,35,1,50677,2
F,25,14,23221,2
M,45,0,90404,3
M,35,20,10027,2
M,50,6,53711,1
M,25,4,14607,4
M,50,0,66048,2
F,45,6,37766,1
M,25,7,37206,3
F,25,7,37206,2
M,35,7,10014,2
M,1,10,01597,3
M,25,16,04103,2
M,18,4,02912,1
M,35,7,01940,3
F,25,0,90802,4
F,35,7,94306,3
F,35,2,55117,2
F,18,4,53715,5
M,18,4,53706,1
M,25,7,92123,3
M,25,12,94115,4
M,35,1,90048,4
M,35,17,55432,3
F,18,1,02109,4
M,18,10,60148,2
F,25,4,32607,2
M,50,11,85726,4
F,45,1,60302,3
F,35,3,60187,3
M,25,14,60061,2
M,1,10,46324,3
M,18,4,37130,1
M,18,0,35115,1
M,25,2,98227,3
M,18,14,90038,3
F,18,7,94111,2
M,25,17,19810,2
M,56,14,18954,2
F,45,15,77040,3
M,25,1,35401,3
M,50,7,19047,3
F,25,0,02144,3
M,25,17,28052,2
M,25,3,77006,4
M,35,5,92867,3
F,35,2,94109,3
M,25,17,61350,3
M,25,0,74136,1
M,25,16,28542,2
M,56,13,58504,4
M,35,2,60061,5
M,18,5,48504,4
F,25,17,33990,2
F,35,20,48044,3
M,35,17,48313,4
F,25,7,48237,1
M,56,1,49006,4
M,25,17,94901,4
F,25,7,94121,2
F,45,5,34610,2
M,18,17,95121,3
F,18,0,48823,1
M,25,7,11215,3
M,25,12,94608,1
M,45,14,94301,2
F,35,1,37922,2
M,50,0,29678,0
F,18,19,60641,3
M,35,17,49424,3
F,56,2,95448,1
M,25,17,49423,1
M,18,11,60614,3
M,25,3,29208,2
F,35,9,95903,2
M,25,16,55103-1006,3
M,25,0,46240,3
M,35,14,55415,2
F,56,0,08055,2
M,18,4,63108,3
M,56,13,97520,3
F,18,19,05070,3
M,18,4,52405,2
F,1,10,22801,3
M,50,16,65401,2
M,25,1,27713,2
M,45,11,03301,3
F,1,10,02906,3
M,45,1,60115,2
M,25,7,30117,0
F,35,17,92509,3
M,18,2,19072,2
M,25,0,20878,3
M,35,1,90024,3
F,35,16,24450,2
F,45,2,19033,3
M,18,4,07030,4
M,50,13,60622,2
M,25,1,57106,3
F,18,4,43560,1
F,25,1,07721,3
M,45,11,49265,3
F,18,4,43402,3
M,25,20,50265,3
F,35,1,92801,3
F,25,0,53713,2
F,18,0,60641,3
M,56,7,06071,4
M,18,0,46517,2
M,25,7,22407,3
M,25,1,49503,2
M,45,7,01531,4
M,25,0,06096,1
F,1,10,06074,4
M,25,11,65775,1
M,25,4,92507,2
F,25,12,94526,3
M,35,7,94086,1
M,25,0,60089,4
F,18,0,81301,4
M,35,7,10471,2
M,50,1,98112,3
M,1,0,78130,2
M,18,0,60451,5
M,18,0,60618,3
F,35,14,01536,3
M,25,0,03755,3
F,35,7,80122,2
M,56,12,92780,1
F,25,7,94303,3
M,35,7,90026,3
F,56,6,90630,2
M,50,7,92886,3
F,1,0,95404,3
M,35,7,94806,2
M,1,10,94501,3
M,18,4,55455,2
M,18,4,97470,3
M,45,15,92880,4
M,35,11,10538,1
M,50,0,44126,2
F,50,1,10024,3
M,18,4,80302,4
M,25,6,33156,3
F,35,16,02472,2
M,25,6,62702,1
M,18,4,78626,3
M,25,4,26508,3
M,50,7,55016,1
M,35,20,94107,3
M,25,17,22041,2
M,18,0,57106,2
F,50,0,10016,0
M,56,13,30047,1
M,18,7,94104,3
M,25,4,90039,1
M,45,14,12561,1
M,35,20,90292,3
F,18,4,90039,1
M,25,12,78731,4
M,25,7,06516,1
M,25,4,78705,3
M,1,19,92557,3
F,45,14,75006,3
M,45,7,01581,3
M,18,4,11710-1641,3
M,25,7,53715,2
M,25,2,60160,4
M,35,16,50317,3
F,1,10,01915,4
M,18,19,67218,4
F,25,4,02138,3
F,25,0,94104,2
M,18,4,94720,3
M,25,1,14608,2
M,25,0,07040,2
M,25,17,32250,1
M,56,16,32043,1
M,50,4,94070,1
M,25,7,19380,4
M,25,4,02457,2
M,45,17,48105,3
M,25,5,74055,3
M,25,17,94133,2
F,18,4,02138,4
M,35,0,33174,3
M,35,1,22903,2
M,18,4,94704,3
M,25,4,55408,2
M,18,15,94606,2
M,45,11,90028,1
F,35,3,55112,3
M,25,4,08544,3
F,35,7,22039,1
M,18,17,89503,3
M,25,11,22043,2
M,45,17,21742,3
M,25,20,55105,2
M,35,6,94115,3
F,18,4,76201,3
F,18,4,10003,2
M,45,7,77351,2
F,25,3,30308,2
M,56,20,92315,3
F,56,15,20194,2
M,18,4,10128,3
M,25,12,55418,2
M,25,4,22903,4
M,50,16,19425,2
M,18,4,02138,2
M,25,7,97303,2
M,35,16,19803,3
M,35,7,28036,2
M,35,11,73120,2
F,35,1,82601,1
M,25,11,55427,1
F,50,1,60089,3
M,50,7,76054,0
M,25,17,27519,3
M,18,4,10027,3
M,25,2,90292,3
M,25,12,94118,2
M,35,17,23602,2
M,56,15,13207,3
F,18,3,55422,4
M,18,17,06040,2
M,25,4,27278,2
M,25,17,90048,5
M,25,0,20874,0
M,25,15,03755,4
M,50,12,32920,1
M,25,16,07701,1
F,18,4,63109,3
M,25,0,10023,2
M,25,0,32444,2
M,18,4,43201,5
F,25,6,74105,2
M,18,19,94523,3
M,35,14,94133,4
M,18,4,02453,3
M,18,4,44130,1
M,50,7,78704,2
M,18,14,60073,3
M,35,7,90069,1
M,25,1,94025,2
M,25,4,84064,2
M,18,4,90241,2
F,45,0,92126,3
M,25,2,98074,2
M,35,6,48105,2
M,18,4,94704,3
M,35,20,90012,2
M,25,0,60090,2
M,35,1,06417,2
M,35,14,95492,2
M,1,0,08055,1
F,25,0,80027,1
F,18,4,55455,1
M,18,10,45904,3
M,35,1,48912,2
M,18,17,63544,3
M,56,17,55117,3
M,56,13,14215,1
F,25,6,79416,2
F,1,10,55391,2
M,25,0,94558,3
M,25,17,10025,1
M,18,4,12604,2
M,45,17,44129,2
M,35,3,45215,3
M,1,10,11102,5
M,25,14,37127,3
M,1,10,54220,3
M,25,0,10009,1
F,18,6,84780,3
F,35,20,09824,3
M,18,4,77840,2
M,25,20,48103,4
M,18,4,02777,1
M,25,0,60610,1
M,25,1,68516,4
M,25,1,77845,3
M,25,15,94102,4
M,18,2,10018,2
M,25,5,55405,2
M,25,14,17857,2
F,35,9,60618,0
M,25,4,02134,0
M,35,4,84123,3
M,25,4,19104,3
M,18,0,92037,1
M,25,20,91505,2
M,35,12,01944,3
F,25,15,92507,3
M,45,0,73702,3
F,25,7,78703,4
M,25,1,19335,2
F,18,4,02809,3
F,35,0,46142,5
M,45,16,10962,2
M,35,7,98103,3
F,35,17,84067,0
F,25,2,94133,3
M,18,4,55116,3
F,50,7,94123,3
F,25,6,48108,2
M,25,14,74114,1
M,25,0,29672,4
M,45,20,43201,3
M,56,20,95123,4
M,18,10,79605,4
F,18,4,78209,2
M,50,17,85712,1
F,35,0,99801,3
F,45,7,02038,3
M,25,1,27106,1
F,1,10,99016,4
M,18,4,49841,4
F,45,9,03862,3
F,25,20,90046,3
M,45,13,52761,3
M,18,4,22903,2
M,18,20,80218,3
M,35,14,92075,2
F,18,4,01609,3
F,1,10,25801,5
M,45,17,90620,2
M,25,1,46530,4
M,35,14,95822,2
F,25,4,55113,4
M,18,17,90064,0
M,35,1,55406,5
M,50,16,77079,3
M,25,11,06851,2
M,25,7,60628,4
F,35,7,92075,2
F,18,4,19803,2
M,45,7,02460,4
F,45,12,954025,4
M,35,17,55106,4
M,25,4,19711,3
M,18,4,60201,2
M,18,17,22043,3
M,18,4,94122,3
M,25,0,59405,2
F,45,7,30260,3
M,50,17,08043,2
M,18,4,28403,4
M,18,4,60611,2
F,18,0,98225,2
F,25,6,22903,3
M,35,10,94133,2
M,25,0,69301,2
M,18,4,98105,5
M,35,17,19473,3
M,35,14,94085,3
M,18,4,85210,0
M,25,0,23451,2
M,35,20,98106,2
M,35,17,97232,3
F,25,4,90034,2
F,25,7,98188,3
M,25,0,92008,3
M,35,7,02370,2
M,50,7,37931,1
M,25,12,98133,3
F,25,9,29369,2
F,25,4,44406,4
M,56,7,10522,3
M,25,4,02430,4
F,18,19,02452,5
M,56,17,53061,3
M,18,10,53207,3
F,35,11,43201,2
M,35,7,08021,3
M,56,13,13123,2
F,25,6,33076,3
M,50,18,13126,2
M,25,17,80112,2
M,25,0,98122,2
M,45,17,48310,2
M,56,13,94025,2
M,35,7,10040,1
M,25,12,94402,3
M,25,1,27713,3
M,45,0,92626,3
M,35,6,92672,2
F,35,1,89447,1
M,25,4,30052,3
M,35,1,14260,2
M,18,1,92037,2
M,35,17,10025,2
M,35,2,78766,3
M,25,1,92103,1
F,18,4,90038,2
M,25,14,22205,3
M,18,4,95326,2
M,18,4,32607,2
M,25,2,77056,4
M,18,12,55118,1
F,18,4,59715,1
F,25,4,66049,3
M,25,17,79705,2
F,50,0,02139,3
M,18,5,12582,4
M,25,19,59602,3
M,25,12,10036,1
M,25,4,40504,0
M,25,0,92346,1
M,18,4,93004,1
M,56,7,92065,2
M,1,10,92106,3
M,18,20,60641,2
M,35,7,01720,0
M,1,19,73505,3
F,35,20,95451,0
M,50,12,87505,2
M,25,4,99217,2
M,18,4,94708,2
M,50,14,55407,4
M,45,14,85251,4
F,25,0,28304,3
M,25,6,55439,2
M,25,7,46220,2
M,56,1,55116,2
M,25,0,45459,2
M,56,13,01742,2
M,25,7,33486,2
F,56,0,48178,4
M,50,3,78704,3
M,45,12,92104,3
F,35,17,45014,3
F,25,1,10025,3
F,50,12,55391,2
M,18,19,94703,3
M,25,7,94114,4
M,25,2,94114,2
M,25,15,94550,2
M,25,11,92335,5
M,35,0,90026,3
M,25,4,78705,3
F,25,4,95616,3
F,18,20,45220,2
M,25,12,04106,2
M,25,11,02453,2
F,25,2,91351,3
M,50,7,80302,2
M,25,7,91608,3
M,25,0,20009,2
M,50,12,34761,1
F,25,14,78251,3
F,25,4,73160,3
M,35,0,95409,1
M,18,14,94070,3
M,45,17,02176,2
M,50,17,23059,4
F,18,4,55105,2
M,25,14,60048,2
M,35,6,10011,3
F,45,0,96821,3
M,25,4,91790,3
M,18,4,30305,3
M,56,16,77079,4
M,35,16,30034,2
M,56,13,12124,2
F,18,0,91601,1
M,18,14,43725,1
M,25,5,97213,2
M,18,20,30605,2
M,45,17,94602,1
M,35,20,46614,4
M,56,8,00606,3
M,25,7,97267,1
F,50,7,55082,4
M,1,0,46979,2
F,18,4,10708,3
F,35,20,10013,2
M,25,12,10002,3
F,18,5,48108,3
M,50,7,26501,1
M,35,17,06074,1
M,25,16,78411,2
M,35,7,50111,3
M,35,14,92025,1
M,25,12,50265,3
M,18,4,48104,3
M,18,0,72761,4
M,25,2,17003,4
M,25,4,06511,2
M,25,20,23225,3
F,35,1,74135,4
M,18,4,77005,2
M,35,17,37815,4
F,50,3,95032,2
M,18,20,93455,3
M,56,13,92675,4
M,25,3,00918,3
M,25,0,20015,4
F,45,7,03848,2
F,18,2,55105,3
M,35,1,32312,2
M,25,2,55372,1
M,25,18,98001,2
M,35,0,52057,3
M,35,7,94127,2
F,25,9,98001,3
M,35,14,91602,2
M,25,17,85016,2
F,56,0,46814,2
M,25,7,95076,3
M,50,0,43617,3
F,50,7,33764,3
M,35,7,83405,0
F,25,1,06417,2
M,35,12,97006,3
F,18,4,90025,4
M,25,17,48473,4
M,35,6,55122,3
F,35,1,84108,4
M,1,10,73013,4
M,25,2,87123,4
F,18,4,92833,2
M,18,1,62522,2
F,1,10,55082,2
M,50,6,22039,1
F,25,11,43201,0
M,35,12,98166,2
M,25,0,33142,1
M,25,17,92656,2
F,25,6,91423,2
M,18,15,91101,2
M,25,12,34170,1
F,50,16,44319,2
M,35,12,10128,4
M,18,6,19104,3
M,35,2,98055,3
F,18,9,75801,4
M,18,14,10017,3
M,25,15,92121,4
M,35,1,90504,3
M,50,13,02718,4
F,35,3,55075,0
M,35,20,17112,3
F,25,3,17522,3
M,25,4,70806,3
F,25,0,19063,2
M,25,17,55410,3
M,56,6,77379,3
M,25,7,63366,2
F,18,14,50401,4
M,25,0,10013,5
M,25,17,49017,3
M,56,14,92630,3
M,25,4,22901,3
M,35,17,94954,3
M,35,7,53150,2
M,45,1,24523,2
M,45,12,55436,0
M,25,6,19342,2
M,35,7,30324,3
M,45,15,93555,4
F,25,11,10022,1
M,25,7,55105,2
M,25,4,48109,1
M,25,12,55107,2
F,35,0,04255,3
M,56,0,91367,0
M,56,7,55042,2
M,18,16,55416,4
M,25,12,90034,3
F,18,4,55422,1
M,25,4,01604,3
M,25,7,55346,2
M,45,7,30076,3
F,56,6,01852,2
M,25,20,94111,4
F,45,3,44555,2
F,35,6,55125,2
M,18,4,53211,2
M,35,2,92115,4
M,25,14,95820,3
M,25,2,94404,2
F,25,16,67846,3
M,50,12,90254,3
M,25,12,77042,2
M,25,0,55812,3
M,50,1,01096,1
M,25,2,90035,4
M,35,7,90014-1718,3
M,35,2,55104,1
M,35,7,85331,2
M,45,6,22630,2
F,25,14,55104,2
F,35,6,48105,3
M,25,4,95616,2
F,50,6,04086,3
M,25,12,94114,1
M,25,15,02139,3
M,45,0,43615,4
M,25,12,02144,3
F,25,6,77054,3
M,35,1,32792,3
F,35,7,55021,4
M,18,4,60201,3
M,18,4,55102,3
M,25,17,94602,2
F,50,7,02889,4
M,35,17,44301,3
M,35,17,95014,2
M,25,4,32653,2
M,56,7,01040,3
F,35,20,93449,4
M,18,14,08822,4
M,25,14,30340,2
M,25,17,20886,3
M,25,14,92614,3
M,18,3,92278,3
F,45,9,63119,3
M,25,0,89145,3
M,18,14,80526,3
M,35,16,66208,2
M,35,7,07043,2
M,18,0,47933,3
M,18,4,58102,2
M,35,2,91344,1
F,50,1,94550,3
F,25,17,80301,3
M,25,1,77064,2
M,25,0,95903,3
M,18,4,83706,4
M,25,12,55108,4
F,1,10,29146,2
F,35,9,94587,3
M,18,4,04915,3
M,25,17,55125,2
F,45,15,44106,4
M,25,0,06880,3
M,25,4,68108,4
M,25,7,05346,3
M,35,5,08406,3
M,25,2,10003,2
M,45,14,55123,4
M,25,4,98102,2
F,35,12,48109,2
F,35,16,48237,1
M,25,20,29205,3
M,35,7,06680,2
F,35,0,42420,1
M,18,4,93117,4
F,35,5,49424,2
F,45,6,42420,3
F,35,0,37920,3
F,56,13,37931,3
M,56,13,37830,2
F,50,1,02324,2
M,18,4,45750,3
M,56,13,37938,4
F,35,6,37919,4
M,35,11,10023,3
M,25,4,22903,2
F,25,14,95125,3
M,35,17,62034,3
M,25,17,32224,3
F,25,0,06040,0
M,25,16,37922,3
M,18,1,55408,3
F,45,7,60605,2
F,18,3,32219,2
M,18,1,57382,2
M,25,7,20170,2
M,25,17,90210,2
M,35,20,60640,3
M,35,20,60640,2
M,25,2,90068,3
M,25,14,60148,3
F,45,16,65441,1
M,56,0,01886,2
M,25,0,99163,3
M,25,7,91403,3
M,25,16,59079,2
F,18,17,94606,2
M,35,7,11747,3
M,25,5,85705,3
M,25,4,94305,3
M,25,12,10014,1
M,18,4,53190,3
M,18,0,95037,2
M,25,12,11217,3
M,18,4,60047,5
M,45,12,95051,3
M,25,2,10002,3
M,35,7,98607,3
M,25,0,33702,2
M,18,7,55403,2
M,25,17,23454,4
M,1,0,95451,3
M,1,10,60202,3
F,25,0,30102,1
M,25,7,32836,2
M,35,0,95826,4
F,25,6,95833,3
F,35,17,90291,2
F,35,2,95521,3
M,50,0,76067,3
M,18,0,87122,1
M,56,13,55804,3
M,35,1,92120,3
F,45,3,94560,4
M,45,7,48322,3
F,35,6,95843,3
M,25,20,79912,4
M,35,12,95677,2
F,18,4,53538,5
M,1,10,55427,3
M,18,12,73112,3
M,25,15,92111,2
M,56,13,95129,0
F,25,14,94301,2
F,25,5,91311,3
M,35,17,94804,3
M,18,14,90292,0
F,35,20,94118,2
M,25,19,93536,3
M,35,0,90401,3
M,56,12,94109,4
M,50,7,94024,2
M,25,14,07702,0
M,25,17,54401,1
M,25,20,19083,3
M,18,0,92122,2
M,45,0,02131,2
M,18,4,76266,1
M,25,3,77057,3
M,25,7,79416,3
M,25,12,55303,3
F,35,9,46077,2
M,45,17,80907,2
M,25,0,60173,3
M,1,0,75070,2
M,35,7,60510,4
M,56,10,11361,4
M,25,12,94501,3
M,25,7,91436,3
M,18,10,64050,4
M,35,19,11201,4
M,18,4,55120,2
M,25,1,08904,2
F,25,4,48042,3
F,1,10,72601,5
M,25,14,95821,4
F,18,4,48104,2
M,18,4,03106,2
M,45,2,29440,3
F,35,1,92705,1
F,25,0,02148,1
M,18,4,61801,4
F,18,4,48135,1
M,18,14,48185,3
M,35,16,92630,4
F,35,17,89507,2
F,18,4,48104,2
M,35,12,95864,4
F,50,1,93103,3
M,35,12,98033,0
M,25,0,02143,2
M,25,1,97302,3
F,35,2,75214,3
M,35,0,18360,4
M,1,10,75040,3
M,35,0,91505,2
F,45,1,85259,2
M,18,5,55344,2
M,25,1,97321,3
F,25,0,97213,1
M,18,16,27705,4
M,35,7,10625,5
M,35,7,95765,3
F,18,4,98052,1
M,25,12,98116,3
M,25,1,97206,3
M,35,20,97333,2
M,25,12,98684,3
M,35,16,98029,2
F,25,17,85301,2
M,50,14,92026,3
M,35,2,97214,3
F,25,19,98102,3
M,18,4,98312,3
M,35,1,98502,3
M,25,18,78757,4
F,25,7,07067,3
M,25,17,79925,4
M,18,4,44266,1
M,25,6,75080,2
F,35,14,60202,3
M,25,5,02891,2
M,35,7,44125,3
M,18,20,49506,3
M,35,2,19123,2
M,45,7,37343,3
M,50,17,39567,5
F,45,20,04046,1
F,18,0,06360,2
M,18,10,99016,1
M,18,16,29404-2205,3
F,45,6,04240,2
F,50,5,60714,3
M,45,1,37027,4
M,25,7,06854,3
M,25,12,98034,2
M,35,17,48323,1
M,25,10,55414,3
F,25,7,06854,5
M,25,0,10002,3
M,25,7,90248,2
M,25,14,06511,3
M,18,4,94118,1
M,25,17,11106,0
F,18,0,91030,3
M,25,4,98115,4
F,25,2,75075,4
M,35,17,93436,4
M,25,14,97203,1
M,50,7,94114,1
M,1,10,97201,2
F,25,2,10475,1
M,18,4,85282,3
M,25,19,94111,4
M,35,0,09142,1
M,1,10,75082,3
M,25,14,76051,2
M,25,1,60613,1
M,35,14,07920,2
F,25,12,20850,3
F,18,15,02115,2
M,35,17,55113,2
F,25,1,55108,3
M,18,15,94061,2
M,25,12,94618,1
M,50,11,66048,1
M,18,10,55421,3
F,35,6,76021,3
M,35,0,97225,2
M,18,4,56043,2
M,25,12,55112,2
F,35,4,19104,2
F,25,7,10023,3
M,35,20,19108,1
M,25,7,23112,2
M,25,11,19130,3
M,25,14,55113,1
M,18,16,99353,2
M,18,15,53706,4
M,25,0,10016,3
F,35,4,97068,3
M,35,7,33407,1
M,25,14,55391,1
M,35,12,11375,3
M,56,7,27410,4
M,25,2,92711-0571,4
M,18,0,02215,3
M,25,0,02478,3
M,35,18,72118,2
M,25,0,44512,2
M,56,2,92020,2
F,35,12,01464,1
M,56,3,52240,2
F,35,6,48073,3
M,25,7,49221,2
M,18,4,15217,3
M,25,15,53704,1
M,35,7,80304,1
M,35,7,40601,1
F,25,4,89431,3
F,25,14,46220,2
M,25,7,91423,4
M,56,14,40207,3
M,35,6,48439,3
M,45,7,97720,2
F,25,14,93428,3
M,45,4,77009,3
F,45,12,85283,3
M,25,7,91941,4
M,45,18,26101,3
F,25,0,02176,1
F,1,10,32043,3
F,35,16,92054,3
F,25,14,97367,1
M,18,4,73071,2
M,25,7,12801,1
M,25,17,00693,2
M,35,0,14086,3
M,25,15,70809-2612,2
M,35,14,55418,2
M,35,15,94706,3
F,18,4,94702,3
F,25,0,94403,3
M,25,0,43081,2
M,25,12,21045,5
F,18,4,95602,3
F,25,17,92121,2
F,25,2,68502,1
M,18,4,61820,4
M,18,17,98121,2
M,18,4,30606,2
M,25,20,75006,2
M,18,3,48005,2
M,35,15,94002,3
F,25,15,94002,2
M,45,11,33133,3
M,45,13,77706,4
M,56,13,95929,3
M,35,7,80221,2
M,25,15,02140,2
M,25,17,77449,2
F,35,9,10021,3
M,1,10,13066,3
F,50,1,52002,3
F,1,10,10706,3
M,35,12,08852,3
M,35,7,15137,4
F,35,9,17055,2
M,35,16,08753,3
M,56,6,74105,4
M,45,11,48104,3
M,25,20,90024,1
F,1,10,13090,1
M,35,17,82604,2
M,56,0,06082,4
M,25,14,70005,3
M,25,12,0956456,3
M,25,2,11105,1
M,35,0,94610,2
M,25,16,47274,2
M,56,1,53705,2
M,18,12,02115,4
M,25,7,49686,1
F,18,20,60194,2
M,50,7,94107,3
M,35,15,91411,3
M,25,7,77099,2
M,50,6,06511,4
M,35,7,76248,2
M,56,15,37830,3
F,56,14,95005,4
M,18,0,63116,2
F,18,12,05055,3
M,25,3,75150,3
M,18,18,13045,4
M,25,20,81101,2
M,25,7,21030,1
M,25,14,94404,3
F,50,7,13027,2
M,25,1,13210,3
M,35,0,06108,4
M,50,1,13215,2
F,35,7,06082,1
F,45,7,01602,2
F,25,9,53719,2
M,18,4,15213,3
M,50,7,48152,4
F,50,0,95616,5
M,18,4,94044,2
M,18,1,50310,2
M,50,7,80004-4448,3
M,1,0,02322,3
M,56,1,19026,2
M,25,16,97378,4
F,25,17,19810,2
M,25,17,20866,2
M,25,12,53154,4
M,18,1,70006,2
M,18,4,46219,4
F,35,7,60201,3
F,35,5,47129,3
M,35,12,94107,4
M,50,20,92106,2
M,35,7,02127,2
M,56,13,85248,2
F,45,1,46774,3
F,18,4,44509,3
M,25,7,10019,2
M,18,19,75080,2
M,35,6,37664,3
M,50,0,11947,2
M,1,10,92846,0
M,25,4,29732,4
M,50,0,62234,3
M,18,4,03052,2
M,35,17,90035,3
F,35,1,91106,2
M,56,20,44281,2
F,50,11,94102,2
F,50,0,55401,3
F,45,1,55407,4
F,25,1,01950,3
M,18,4,55104,4
M,45,2,94618,2
M,25,14,02148,3
M,35,4,10036,2
M,45,12,01603,2
M,18,17,33186,3
M,18,5,91767,4
F,25,0,19001,3
M,45,0,14468,3
M,56,13,32806,2
F,45,12,23116,1
M,25,6,04456,0
M,35,17,01519,3
M,18,4,49546,2
M,56,13,49307,3
F,35,6,27516,4
M,56,1,30345,4
M,18,0,46304,3
M,25,1,06877,0
F,35,0,44313,2
M,35,7,61910,2
F,25,2,11217,3
M,1,0,94525,2
F,45,6,95209,3
F,25,9,93940,3
F,35,0,55406,4
M,35,17,37221,1
M,45,6,95695,2
M,25,14,94133,1
F,18,4,92805,4
M,1,10,94707,1
M,25,17,95126,2
F,45,13,94931,4
M,50,13,01938,3
F,35,14,95051,3
M,18,10,92704,3
M,45,7,90405,4
M,25,14,02142,3
F,18,3,60640,3
M,50,14,33401,3
M,25,12,94131,4
F,25,14,94109,4
M,56,17,32822,3
F,35,17,48219,4
M,18,12,20878,4
M,18,4,97331,2
M,56,13,03440,2
M,50,16,49277,3
F,25,9,48021,4
M,25,15,77006,3
F,50,20,27516,3
F,25,15,91360,2
M,18,4,56001,2
M,45,6,44131,2
F,25,12,10011,3
M,56,8,12436,3
M,25,7,36102,2
M,45,18,02557,2
F,50,9,01450,2
M,45,16,97068,2
M,18,4,18042,2
F,18,20,55104,2
M,18,20,72837,4
F,35,9,07452,4
F,56,6,91941,2
M,18,2,90025,1
F,35,17,60618,3
M,25,1,40214,3
F,45,1,27615,3
M,18,0,89129,1
M,18,4,94706,3
F,25,2,02903,2
M,18,4,20037,3
F,18,9,73008,4
F,35,7,92625,2
M,25,17,43201,3
M,18,4,80521,2
M,18,4,60115,2
